route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1109947,15859,OCESN002306F0300310433,"2306",0,,
OCE1109947,15865,OCESN002312F0100110438,"2312",0,,
OCE1109947,15866,OCESN002310F0100110437,"2310",0,,
OCE1109947,15866,OCESN002334F0100110459,"2334",0,,
OCE1109947,15858,OCESN002308F0100110435,"2308",0,,
OCE1109947,15865,OCESN002316F0100110439,"2316",0,,
OCE1109947,15866,OCESN002330F0300310454,"2330",0,,
OCE1109947,15866,OCESN002324F0100110448,"2324",0,,
OCE1109947,15858,OCESN002326F0400410450,"2326",0,,
OCE1109947,15914,OCESN002332F0500510456,"2332",0,,
OCE1109947,15858,OCESN002332F0800810457,"2332",0,,
OCE1109947,15909,OCESN002330F0200210455,"2330",0,,
OCE1109947,15909,OCESN002324F0300310447,"2324",0,,
OCESN-87116301-87430819,20929,OCESN002429R0200110517,"2429",1,,
OCESN-87116301-87430819,20929,OCESN002425R0200110513,"2425",1,,
OCESN-87116301-87430819,20929,OCESN002433R0200110525,"2433",1,,
OCESN-87116301-87430819,20417,OCESN002403R0200110486,"2403",1,,
OCESN-87116301-87430819,20929,OCESN002411R0200110503,"2411",1,,
OCESN-87116301-87430819,15878,OCESN002427R0200110515,"2427",1,,
OCESN-87116301-87430819,15878,OCESN002401R0300110484,"2401",1,,
OCESN-87116301-87430819,20947,OCESN002423R0200110511,"2423",1,,
OCESN-87116301-87430819,15878,OCESN002417R0200110507,"2417",1,,
OCESN-87116301-87430819,15878,OCESN002413R0200110504,"2413",1,,
OCESN-87116301-87430819,15878,OCESN002415R0200110506,"2415",1,,
OCESN-87116301-87430819,20947,OCESN002428R0200110516,"2428",0,,
OCESN-87116301-87430819,20929,OCESN002426R0200110514,"2426",0,,
OCESN-87116301-87430819,15878,OCESN002408R0200110493,"2408",0,,
OCESN-87116301-87430819,15878,OCESN002402R0200110485,"2402",0,,
OCESN-87116301-87430819,15878,OCESN002410R0200110502,"2410",0,,
OCESN-87116301-87430819,15878,OCESN002422R0200110510,"2422",0,,
OCESN-87116301-87430819,20947,OCESN002438R0200110528,"2438",0,,
OCESN-87116301-87430819,15878,OCESN002434R0200110526,"2434",0,,
OCESN-87116301-87430819,20929,OCESN002432R0200110524,"2432",0,,
OCESN-87116301-87430819,15891,OCESN002424R0200110512,"2424",0,,
OCESN-87116301-87430819,20929,OCESN002436R0200110527,"2436",0,,
OCE1209987,30582,OCESN013909F0100117973,"13909",1,,
OCE1209987,20736,OCESN013909F0300317972,"13909",1,,
OCE1209987,30583,OCESN013917F0100117975,"13917",1,,
OCE1209987,30584,OCESN013915F0100117974,"13915",1,,
OCE1209987,30585,OCESN003903F0100112119,"3903",1,,
OCE1209987,30586,OCESN003921F0100112143,"3921",1,,
OCE1209987,30587,OCESN003917F0100112140,"3917",1,,
OCE1209987,20665,OCESN003909F0100112127,"3909",1,,
OCE1209987,17580,OCESN003909F0600612125,"3909",1,,
OCE1209987,20627,OCESN003913F0100112131,"3913",1,,
OCE1209987,20638,OCESN003915F0100112135,"3915",1,,
OCE1209987,30588,OCESN003909F0800812129,"3909",1,,
OCE1209987,30589,OCESN013721F0100117970,"13721",1,,
OCE1209987,20717,OCESN003908F0200212124,"3908",0,,
OCE1209987,30590,OCESN003908F0100112123,"3908",0,,
OCE1209987,30591,OCESN003904F0100112121,"3904",0,,
OCE1209987,30592,OCESN003916F0100112138,"3916",0,,
OCE1209987,30593,OCESN003914F0100112134,"3914",0,,
OCE1209987,30594,OCESN003924F0100112147,"3924",0,,
OCE1209987,30595,OCESN003920F0300312142,"3920",0,,
OCE1209987,30596,OCESN013920F0100117976,"13920",0,,
OCE1209987,5517,OCESN013924F0100117977,"13924",0,,
OCE1209987,30597,OCESN013908F0300317971,"13908",0,,
OCESN-87681007-87682005,20947,OCESN005003R0200112395,"5003",1,,
OCESN-87681007-87682005,20947,OCESN005001R0100112393,"5001",1,,
OCESN-87681007-87682005,20947,OCESN005005R0100112397,"5005",1,,
OCESN-87681007-87682005,20947,OCESN005007R0100112400,"5007",1,,
OCESN-87681007-87682005,20947,OCESN005002R0200112394,"5002",0,,
OCESN-87681007-87682005,20947,OCESN005000R0100112392,"5000",0,,
OCESN-87681007-87682005,20947,OCESN005004R0100112396,"5004",0,,
OCESN-87681007-87681635,20947,OCESN005057R0100112420,"5057",1,,
OCESN-87681007-87681635,20947,OCESN005055R0100112419,"5055",1,,
OCESN-87681007-87681635,20947,OCESN005053R0100112417,"5053",1,,
OCESN-87681007-87681635,20947,OCESN005051R0100112415,"5051",1,,
OCESN-87681007-87681635,20947,OCESN005054R0100112418,"5054",0,,
OCESN-87681007-87681635,20947,OCESN005050R0100112414,"5050",0,,
OCESN-87681007-87681635,20947,OCESN005052R0100112416,"5052",0,,
OCESN-87681007-87681452,20947,OCESN005109R0100112460,"5109",1,,
OCESN-87681007-87681452,20947,OCESN005105R0200112454,"5105",1,,
OCESN-87681007-87681452,20947,OCESN005113R0100112471,"5113",1,,
OCESN-87681007-87681452,20947,OCESN005101R0200112441,"5101",1,,
OCESN-87681007-87681452,20947,OCESN005117R0200112472,"5117",1,,
OCESN-87681007-87681452,20947,OCESN005108R0100112459,"5108",0,,
OCESN-87681007-87681452,20947,OCESN005100R0200112440,"5100",0,,
OCE1325991,20483,OCESN005919F0700713194,"5919",1,,
OCE1325991,7753,OCESN005917F1201213184,"5917",1,,
OCE1325991,11063,OCESN005917F1801813183,"5917",1,,
OCE1325991,30598,OCESN005915F0400413159,"5915",1,,
OCE1325991,20462,OCESN005917F1601613188,"5917",1,,
OCE1325991,2440,OCESN005917F1701713187,"5917",1,,
OCE1325991,20461,OCESN005917F1001013186,"5917",1,,
OCE1325991,20447,OCESN005911F0500513137,"5911",1,,
OCE1325991,30599,OCESN005911F0600613136,"5911",1,,
OCE1325991,30600,OCESN005911F0400413135,"5911",1,,
OCE1325991,20446,OCESN005911F0100113138,"5911",1,,
OCE1325991,19937,OCESN005915F0300313158,"5915",1,,
OCE1325991,30601,OCESN005915F0600613157,"5915",1,,
OCE1325991,19936,OCESN005915F0200213156,"5915",1,,
OCE1325991,20460,OCESN005917F0100113189,"5917",1,,
OCE1325991,3389,OCESN005921F0100113201,"5921",1,,
OCE1325991,19187,OCESN005919F0200213198,"5919",1,,
